Vardas         Pavarde             p1   p2   p3   p4   p5   p6   p7   p8   p9   p10  p11  p12  p13  p14  p15  egz  
Vardas61238    Pavarde61238        8    7    7    8    10   10   9    10   8    1    10   8    6    4    8    8    
Vardas61239    Pavarde61239        8    5    7    10   10   8    5    5    7    6    9    1    4    8    2    4    
Vardas61240    Pavarde61240        8    3    9    5    6    1    7    6    2    9    6    9    2    5    7    9    
Vardas61241    Pavarde61241        8    4    9    3    4    10   3    6    3    10   6    2    8    5    5    9    
Vardas61242    Pavarde61242        1    5    5    3    1    9    4    10   7    8    1    3    4    2    7    10   
Vardas61243    Pavarde61243        7    4    3    1    7    3    5    10   8    9    9    10   9    6    8    9    
Vardas61244    Pavarde61244        9    6    5    2    4    6    6    4    5    1    9    2    2    1    10   7    
Vardas61245    Pavarde61245        8    8    5    2    7    1    6    10   2    1    8    2    4    3    7    3    
Vardas61246    Pavarde61246        3    2    3    6    10   3    1    5    8    10   1    5    1    4    4    5    
Vardas61247    Pavarde61247        5    1    5    2    7    10   7    4    7    9    4    6    3    3    10   5    
Vardas61248    Pavarde61248        4    3    7    2    6    10   9    1    5    9    9    2    10   2    9    10   
Vardas61249    Pavarde61249        1    5    1    4    5    4    6    4    4    8    3    7    6    5    5    7    
Vardas61250    Pavarde61250        4    4    5    2    5    2    1    2    8    8    3    4    10   4    5    3    
Vardas61251    Pavarde61251        1    6    3    5    3    5    8    7    6    5    10   7    4    1    3    2    
Vardas61252    Pavarde61252        7    8    4    7    3    4    7    1    4    6    9    5    2    5    3    4    
Vardas61253    Pavarde61253        10   3    10   5    4    6    1    7    5    9    3    10   7    10   6    2    
Vardas61254    Pavarde61254        8    6    10   9    9    6    4    9    1    8    1    9    2    9    3    7    
Vardas61255    Pavarde61255        5    1    10   6    3    4    5    1    7    2    5    3    2    2    10   2    
Vardas61256    Pavarde61256        9    4    2    10   9    1    7    6    7    10   9    5    10   6    5    9    
Vardas61257    Pavarde61257        9    2    10   8    10   8    2    5    5    2    8    8    8    6    5    6    
Vardas61258    Pavarde61258        9    10   5    3    10   2    10   8    7    4    9    3    3    2    1    4    
Vardas61259    Pavarde61259        3    7    1    7    3    6    2    5    7    6    1    3    8    1    5    6    
Vardas61260    Pavarde61260        1    10   5    10   6    1    5    5    6    2    4    10   7    7    1    9    
Vardas61261    Pavarde61261        5    1    10   1    3    4    3    8    8    7    2    5    1    3    4    9    
Vardas61262    Pavarde61262        10   4    2    3    10   5    1    8    10   5    4    6    5    1    2    4    
Vardas61263    Pavarde61263        2    2    4    8    10   3    7    4    3    5    4    4    1    3    4    7    
Vardas61264    Pavarde61264        1    2    7    8    7    9    9    5    9    5    3    1    2    5    7    5    
Vardas61265    Pavarde61265        6    5    3    9    9    8    8    5    1    3    5    10   9    3    4    8    
Vardas61266    Pavarde61266        5    1    1    4    9    1    3    8    8    2    5    4    1    10   8    9    
Vardas61267    Pavarde61267        5    1    4    7    8    3    7    3    5    4    1    4    9    6    2    3    
Vardas61268    Pavarde61268        3    8    10   6    3    8    10   4    7    1    8    5    3    5    10   6    
Vardas61269    Pavarde61269        10   6    4    5    3    5    2    3    6    6    6    6    3    1    7    1    
Vardas61270    Pavarde61270        7    6    5    2    3    1    2    7    7    3    2    5    3    8    5    10   
Vardas61271    Pavarde61271        6    3    3    3    6    3    8    6    7    2    6    3    10   8    2    1    
Vardas61272    Pavarde61272        6    5    8    2    8    8    1    6    7    4    1    4    6    9    5    4    
Vardas61273    Pavarde61273        1    10   8    6    3    6    8    8    4    9    10   3    3    10   7    10   
Vardas61274    Pavarde61274        9    4    3    4    6    5    3    5    4    2    4    4    6    5    6    4    
Vardas61275    Pavarde61275        1    6    3    10   7    8    6    1    2    1    5    10   7    2    8    5    
Vardas61276    Pavarde61276        3    9    4    9    4    3    2    2    9    4    6    8    8    1    6    2    
Vardas61277    Pavarde61277        1    8    10   1    9    7    10   3    1    9    7    9    5    6    2    5    
Vardas61278    Pavarde61278        7    9    9    6    9    3    10   2    5    6    9    4    3    2    1    3    
Vardas61279    Pavarde61279        3    6    7    10   10   4    1    3    2    2    5    4    9    1    6    1    
Vardas61280    Pavarde61280        4    9    4    1    4    6    9    5    9    10   2    6    2    5    3    3    
Vardas61281    Pavarde61281        2    7    7    9    2    10   3    10   3    8    3    2    5    2    8    8    
Vardas61282    Pavarde61282        1    5    1    8    6    6    10   4    9    8    7    8    6    10   7    7    
Vardas61283    Pavarde61283        8    1    8    8    2    10   3    8    10   7    9    9    2    7    1    8    
Vardas61284    Pavarde61284        9    2    9    3    1    7    5    3    2    7    2    7    6    3    9    9    
Vardas61285    Pavarde61285        5    3    9    1    7    2    9    5    7    8    1    7    2    5    7    7    
Vardas61286    Pavarde61286        5    6    2    3    6    3    5    6    7    4    9    2    9    7    7    5    
Vardas61287    Pavarde61287        10   4    4    5    6    9    2    1    1    8    3    7    8    8    6    3    
Vardas61288    Pavarde61288        9    2    5    6    6    10   1    4    3    3    6    5    3    7    9    2    
Vardas61289    Pavarde61289        6    9    4    7    6    1    4    9    6    8    3    7    3    5    8    1    
Vardas61290    Pavarde61290        4    1    3    8    10   2    3    3    3    8    4    6    5    9    1    8    
Vardas61291    Pavarde61291        7    2    3    7    1    9    5    1    3    6    6    9    8    1    7    9    
Vardas61292    Pavarde61292        9    9    2    8    10   9    9    7    2    9    9    3    1    2    1    7    
Vardas61293    Pavarde61293        3    9    9    7    6    8    9    5    7    6    10   4    2    8    5    9    
Vardas61294    Pavarde61294        1    9    4    1    4    7    10   9    5    9    6    7    6    1    5    8    
Vardas61295    Pavarde61295        9    9    7    3    3    2    7    8    6    4    8    8    7    3    8    4    
Vardas61296    Pavarde61296        3    10   8    9    10   4    3    5    8    10   10   5    4    8    10   4    
Vardas61297    Pavarde61297        1    3    2    4    5    8    1    9    4    1    9    9    10   10   8    1    
Vardas61298    Pavarde61298        10   8    7    8    4    4    8    9    8    10   1    1    7    5    1    9    
Vardas61299    Pavarde61299        4    4    4    8    6    2    4    2    5    1    9    6    7    10   4    4    
Vardas61300    Pavarde61300        7    4    3    9    5    9    4    6    1    2    3    1    1    3    10   7    
Vardas61301    Pavarde61301        1    10   6    5    3    3    4    9    1    4    10   9    10   4    4    1    
Vardas61302    Pavarde61302        4    3    3    8    5    5    3    6    2    5    6    9    1    4    6    10   
Vardas61303    Pavarde61303        3    2    8    4    9    8    4    8    9    8    1    3    8    1    6    5    
Vardas61304    Pavarde61304        10   3    3    7    9    5    9    8    7    7    6    10   1    6    9    10   
Vardas61305    Pavarde61305        5    9    2    4    2    9    8    5    6    10   9    2    10   5    10   6    
Vardas61306    Pavarde61306        4    6    3    4    1    10   4    4    9    10   10   2    9    9    7    2    
Vardas61307    Pavarde61307        5    7    4    3    7    1    4    10   5    2    2    2    9    10   4    6    
Vardas61308    Pavarde61308        5    7    1    8    5    4    4    8    9    9    3    1    7    2    2    3    
Vardas61309    Pavarde61309        6    6    4    7    4    9    3    5    4    4    5    2    8    7    10   4    
Vardas61310    Pavarde61310        8    3    9    4    8    10   9    9    1    1    9    4    6    5    5    3    
Vardas61311    Pavarde61311        2    7    2    1    6    3    8    4    4    6    8    8    9    5    10   10   
Vardas61312    Pavarde61312        10   3    1    8    3    3    7    1    4    9    7    7    8    3    8    10   
Vardas61313    Pavarde61313        6    1    6    9    1    8    7    5    8    7    3    5    10   3    7    8    
Vardas61314    Pavarde61314        6    1    1    4    2    1    1    5    8    4    9    5    5    7    4    7    
Vardas61315    Pavarde61315        10   7    4    9    2    5    3    10   9    10   2    3    6    3    9    5    
Vardas61316    Pavarde61316        9    10   4    2    9    9    9    9    2    2    7    2    7    4    5    2    
Vardas61317    Pavarde61317        5    3    6    7    2    6    8    6    8    8    7    10   3    10   10   3    
Vardas61318    Pavarde61318        4    1    10   3    3    7    8    7    4    3    3    10   1    4    6    7    
Vardas61319    Pavarde61319        4    1    3    10   4    7    8    8    3    1    8    3    10   1    3    6    
Vardas61320    Pavarde61320        1    2    6    1    4    6    5    2    1    8    8    10   3    3    7    3    
Vardas61321    Pavarde61321        10   9    7    3    7    9    7    2    3    5    7    10   6    10   4    7    
Vardas61322    Pavarde61322        1    10   7    6    3    5    2    10   8    2    4    10   2    1    8    4    
Vardas61323    Pavarde61323        6    1    4    6    4    1    5    8    8    1    8    9    4    5    1    1    
Vardas61324    Pavarde61324        9    7    1    1    9    8    1    1    1    2    10   9    6    10   6    6    
Vardas61325    Pavarde61325        8    7    6    7    2    10   10   7    6    8    10   1    1    7    2    2    
Vardas61326    Pavarde61326        6    10   6    10   1    8    3    6    4    8    8    7    6    10   8    6    
Vardas61327    Pavarde61327        5    5    3    2    3    1    4    1    6    10   1    6    3    3    4    6    
Vardas61328    Pavarde61328        9    4    3    6    8    8    7    3    10   4    3    2    7    2    8    3    
Vardas61329    Pavarde61329        6    7    6    10   10   6    9    4    3    6    7    10   1    7    3    5    
Vardas61330    Pavarde61330        9    7    3    10   7    2    9    4    1    8    9    3    4    9    7    4    
Vardas61331    Pavarde61331        2    5    10   10   2    5    2    7    4    3    6    8    7    10   8    6    
Vardas61332    Pavarde61332        7    7    2    9    3    2    2    6    10   2    2    4    8    8    9    4    
Vardas61333    Pavarde61333        2    8    1    10   4    5    3    6    8    5    10   6    7    5    9    7    
Vardas61334    Pavarde61334        5    7    3    7    4    1    4    2    4    4    2    2    8    5    8    6    
Vardas61335    Pavarde61335        3    3    2    2    1    5    1    1    1    7    7    5    6    7    7    10   
Vardas61336    Pavarde61336        2    6    6    6    7    2    1    2    4    4    7    9    7    5    3    9    
Vardas61337    Pavarde61337        2    5    7    2    8    5    7    7    1    10   3    9    9    2    5    2    
Vardas61338    Pavarde61338        7    3    5    2    5    4    3    10   1    2    8    5    5    2    5    6    
Vardas61339    Pavarde61339        2    6    4    4    4    10   2    8    3    10   3    6    1    4    7    3    
Vardas61340    Pavarde61340        5    7    6    9    3    4    2    4    8    4    9    3    7    1    9    2    
Vardas61341    Pavarde61341        4    10   1    3    7    7    3    7    9    4    9    9    3    7    9    4    
Vardas61342    Pavarde61342        9    10   3    7    8    8    10   10   6    7    6    3    4    5    10   3    
Vardas61343    Pavarde61343        6    10   6    2    2    4    10   2    8    7    2    10   1    5    10   8    
Vardas61344    Pavarde61344        8    6    6    6    3    2    3    5    6    6    10   9    9    6    2    1    
Vardas61345    Pavarde61345        3    7    3    3    2    8    2    5    7    1    10   10   9    8    8    10   
Vardas61346    Pavarde61346        1    4    5    3    7    5    4    6    8    6    5    3    1    9    7    4    
Vardas61347    Pavarde61347        8    4    3    8    6    8    8    1    3    4    6    3    4    1    4    8    
Vardas61348    Pavarde61348        1    3    8    7    9    10   3    5    3    1    6    4    1    4    6    5    
Vardas61349    Pavarde61349        2    2    2    4    1    8    8    10   3    5    10   1    8    5    10   8    
Vardas61350    Pavarde61350        2    8    4    2    4    7    7    4    3    3    4    9    6    2    3    3    
Vardas61351    Pavarde61351        2    9    5    7    4    4    9    2    9    9    9    7    8    3    9    4    
Vardas61352    Pavarde61352        3    1    1    6    4    7    7    6    10   1    3    2    8    8    10   10   
Vardas61353    Pavarde61353        1    3    1    7    2    3    3    6    8    9    5    3    3    1    9    9    
Vardas61354    Pavarde61354        10   6    9    8    10   1    5    9    8    4    4    3    8    8    5    8    
Vardas61355    Pavarde61355        4    3    6    7    10   10   2    7    10   5    7    7    6    5    4    6    
Vardas61356    Pavarde61356        1    3    2    2    1    9    5    1    3    3    3    8    6    3    4    7    
Vardas61357    Pavarde61357        2    8    6    1    5    4    4    4    10   9    1    8    6    8    5    10   
Vardas61358    Pavarde61358        5    4    4    8    4    8    4    1    8    4    1    10   3    4    1    10   
Vardas61359    Pavarde61359        9    10   7    8    7    9    2    2    6    5    2    6    5    5    2    5    
Vardas61360    Pavarde61360        9    9    1    3    2    7    3    2    6    5    2    4    7    7    10   9    
Vardas61361    Pavarde61361        10   9    9    6    9    10   4    2    3    7    6    9    8    3    4    8    
Vardas61362    Pavarde61362        3    8    7    9    6    8    8    1    10   8    7    6    10   3    2    8    
Vardas61363    Pavarde61363        9    10   5    7    4    2    7    9    6    9    3    6    5    10   7    3    
Vardas61364    Pavarde61364        2    1    5    10   7    2    2    2    2    3    9    10   2    8    1    8    
Vardas61365    Pavarde61365        4    9    1    2    1    9    6    10   5    1    3    3    4    8    4    8    
Vardas61366    Pavarde61366        4    8    3    7    9    10   1    9    1    10   1    2    6    1    3    2    
Vardas61367    Pavarde61367        2    6    4    1    1    2    9    4    5    9    4    3    6    7    1    4    
Vardas61368    Pavarde61368        10   6    5    10   5    10   7    10   8    7    6    7    4    7    6    8    
Vardas61369    Pavarde61369        8    1    8    4    3    9    4    3    6    9    3    4    10   9    10   1    
Vardas61370    Pavarde61370        6    4    9    8    8    4    2    1    10   6    2    1    10   6    4    4    
Vardas61371    Pavarde61371        2    5    4    6    2    7    3    1    1    7    1    10   7    10   5    5    
Vardas61372    Pavarde61372        3    9    7    3    1    9    4    10   4    3    4    2    9    9    3    7    
Vardas61373    Pavarde61373        5    9    4    7    10   9    4    2    8    9    10   10   2    2    10   4    
Vardas61374    Pavarde61374        6    7    1    3    7    2    3    1    9    3    8    5    3    3    1    3    
Vardas61375    Pavarde61375        3    9    3    7    8    1    3    1    6    1    1    8    7    1    8    1    
Vardas61376    Pavarde61376        2    8    9    9    3    6    3    2    8    1    6    6    3    2    6    4    
Vardas61377    Pavarde61377        5    8    7    3    2    9    6    3    2    4    6    5    10   7    2    7    
Vardas61378    Pavarde61378        6    5    3    3    2    3    1    5    7    6    8    4    8    4    9    8    
Vardas61379    Pavarde61379        9    1    5    2    9    2    8    2    3    7    7    5    4    1    8    10   
Vardas61380    Pavarde61380        2    1    3    5    2    9    3    3    1    4    4    9    2    7    6    8    
Vardas61381    Pavarde61381        2    8    5    2    9    6    7    6    4    10   6    8    9    2    3    8    
Vardas61382    Pavarde61382        1    8    4    8    8    6    8    5    1    7    4    5    10   9    6    1    
Vardas61383    Pavarde61383        5    2    10   9    6    5    7    9    2    4    3    1    10   3    7    7    
Vardas61384    Pavarde61384        9    3    6    3    8    4    9    8    10   6    8    1    8    10   2    3    
Vardas61385    Pavarde61385        8    5    2    9    10   9    10   6    9    6    10   2    8    8    8    8    
Vardas61386    Pavarde61386        1    3    9    2    1    1    2    6    9    6    2    7    7    2    10   10   
Vardas61387    Pavarde61387        10   8    5    8    2    9    10   9    10   6    2    1    6    7    10   8    
Vardas61388    Pavarde61388        5    4    7    9    7    1    1    4    7    10   2    10   3    7    8    10   
Vardas61389    Pavarde61389        3    10   5    6    2    10   1    8    3    3    5    5    9    1    7    2    
Vardas61390    Pavarde61390        4    5    2    6    3    8    9    4    3    4    3    10   7    7    5    8    
Vardas61391    Pavarde61391        10   5    8    1    6    6    7    4    6    9    10   6    5    7    1    1    
Vardas61392    Pavarde61392        3    9    2    7    10   6    3    2    7    8    5    9    6    2    10   4    
Vardas61393    Pavarde61393        3    10   6    2    4    1    10   3    2    7    10   2    7    8    3    4    
Vardas61394    Pavarde61394        2    10   3    3    4    9    3    3    4    8    8    2    3    2    7    2    
Vardas61395    Pavarde61395        7    2    5    4    1    5    5    4    6    2    9    4    3    4    9    4    
Vardas61396    Pavarde61396        2    7    6    9    10   5    6    3    2    2    2    3    9    5    3    5    
Vardas61397    Pavarde61397        7    5    2    10   6    6    4    2    1    8    1    2    9    9    8    6    
Vardas61398    Pavarde61398        7    9    5    1    2    2    8    6    4    4    3    1    5    2    8    6    
Vardas61399    Pavarde61399        4    1    5    8    8    10   9    2    10   2    1    5    4    9    3    7    
Vardas61400    Pavarde61400        2    2    10   1    9    7    7    10   8    6    1    8    2    2    4    7    
Vardas61401    Pavarde61401        9    9    4    8    6    1    6    4    5    9    8    7    1    8    4    5    
Vardas61402    Pavarde61402        1    10   7    5    9    5    1    10   6    6    8    2    10   10   7    4    
Vardas61403    Pavarde61403        3    10   3    7    10   1    5    4    3    1    4    6    3    4    1    4    
Vardas61404    Pavarde61404        9    4    6    8    9    2    2    3    8    2    9    8    4    4    7    2    
Vardas61405    Pavarde61405        9    7    2    8    2    8    10   6    9    3    8    5    3    5    5    1    
Vardas61406    Pavarde61406        3    5    1    5    6    3    4    5    9    1    2    6    7    6    8    3    
Vardas61407    Pavarde61407        3    5    9    1    3    10   3    7    8    9    10   6    5    1    3    6    
Vardas61408    Pavarde61408        8    8    2    2    5    1    1    6    1    4    3    6    10   5    3    3    
Vardas61409    Pavarde61409        2    10   8    6    5    1    9    8    9    2    10   10   5    10   9    1    
Vardas61410    Pavarde61410        1    2    7    3    9    10   8    2    6    2    8    6    2    2    4    8    
Vardas61411    Pavarde61411        7    10   7    7    5    7    3    6    7    1    10   1    10   3    2    1    
Vardas61412    Pavarde61412        4    3    10   8    6    9    1    10   1    3    5    1    6    9    10   1    
Vardas61413    Pavarde61413        9    4    7    2    2    3    7    7    9    4    10   1    4    7    2    8    
Vardas61414    Pavarde61414        2    1    8    2    5    2    1    10   10   5    10   10   7    5    10   1    
Vardas61415    Pavarde61415        7    1    10   4    1    4    10   4    10   6    4    3    10   1    3    3    
Vardas61416    Pavarde61416        3    5    3    1    6    6    9    10   2    1    9    5    5    9    10   3    
Vardas61417    Pavarde61417        2    1    4    6    1    1    10   9    5    9    8    3    9    1    3    6    
Vardas61418    Pavarde61418        4    10   5    3    5    4    5    7    2    6    10   8    5    9    4    2    
Vardas61419    Pavarde61419        1    7    9    8    8    2    1    4    6    6    2    1    2    7    8    5    
Vardas61420    Pavarde61420        3    4    4    5    9    6    5    2    4    5    6    3    7    6    4    7    
Vardas61421    Pavarde61421        2    4    7    6    3    3    2    6    6    6    9    2    10   8    4    7    
Vardas61422    Pavarde61422        10   2    8    4    7    9    2    3    1    10   5    5    10   3    6    3    
Vardas61423    Pavarde61423        2    10   6    2    2    1    1    3    2    4    5    10   5    1    5    6    
Vardas61424    Pavarde61424        9    3    9    2    6    2    1    2    1    3    6    9    4    4    5    9    
Vardas61425    Pavarde61425        5    8    4    7    6    9    1    5    1    4    8    3    2    1    2    8    
Vardas61426    Pavarde61426        5    5    7    3    5    5    6    8    1    10   8    9    6    10   7    10   
Vardas61427    Pavarde61427        5    1    4    7    7    4    10   3    6    10   2    2    9    6    5    6    
Vardas61428    Pavarde61428        6    10   9    8    10   2    2    1    5    1    3    1    3    8    9    6    
Vardas61429    Pavarde61429        9    3    5    4    6    6    9    3    8    2    3    3    5    2    1    10   
Vardas61430    Pavarde61430        6    7    7    7    3    4    3    1    4    6    5    9    3    6    7    7    
Vardas61431    Pavarde61431        6    9    5    5    4    1    10   7    6    4    7    3    6    5    9    2    
Vardas61432    Pavarde61432        2    4    1    6    4    6    1    4    5    1    7    8    1    8    10   8    
Vardas61433    Pavarde61433        10   7    5    1    9    5    5    8    4    8    10   8    3    9    1    9    
Vardas61434    Pavarde61434        4    9    4    9    10   3    10   3    7    8    8    8    9    5    4    10   
Vardas61435    Pavarde61435        9    6    3    2    5    4    10   4    7    1    7    2    1    8    3    8    
Vardas61436    Pavarde61436        1    10   5    5    7    10   6    5    1    5    2    3    2    10   2    2    
Vardas61437    Pavarde61437        6    9    7    8    5    2    5    2    4    10   2    4    6    8    9    7    
Vardas61438    Pavarde61438        6    4    5    1    5    5    9    2    8    7    2    8    2    6    10   6    
Vardas61439    Pavarde61439        7    2    7    8    1    5    4    4    2    2    4    10   7    9    7    10   
Vardas61440    Pavarde61440        10   7    5    2    6    10   5    6    9    5    8    3    10   3    7    4    
Vardas61441    Pavarde61441        3    6    6    6    8    7    1    8    10   1    3    5    4    5    10   1    
Vardas61442    Pavarde61442        4    4    5    5    9    8    9    7    6    4    2    1    7    2    5    6    
Vardas61443    Pavarde61443        6    9    4    8    3    2    5    7    5    6    6    1    2    9    4    10   
Vardas61444    Pavarde61444        4    2    5    5    2    6    9    2    2    6    8    6    5    4    5    4    
Vardas61445    Pavarde61445        10   8    8    2    5    9    10   9    2    7    1    2    5    4    3    9    
Vardas61446    Pavarde61446        1    8    10   3    2    4    10   1    2    3    2    2    9    1    7    6    
Vardas61447    Pavarde61447        2    8    3    5    9    9    10   6    6    4    1    7    4    7    1    6    
Vardas61448    Pavarde61448        1    10   2    8    9    3    9    8    7    8    10   6    9    6    1    8    
Vardas61449    Pavarde61449        3    1    5    10   6    7    1    9    10   7    8    6    4    2    4    1    
Vardas61450    Pavarde61450        10   6    6    5    4    10   3    6    6    4    4    10   10   3    7    5    
Vardas61451    Pavarde61451        9    10   7    1    7    5    3    10   10   3    9    7    4    9    6    2    
Vardas61452    Pavarde61452        3    10   5    6    6    1    9    2    4    8    3    9    10   9    7    6    
Vardas61453    Pavarde61453        8    8    6    10   9    9    4    1    5    2    6    7    9    7    1    7    
Vardas61454    Pavarde61454        7    4    2    3    4    9    9    10   4    10   7    7    2    1    9    3    
Vardas61455    Pavarde61455        1    5    9    7    2    6    4    3    8    6    8    8    1    3    1    7    
Vardas61456    Pavarde61456        1    8    10   9    7    5    3    4    9    2    9    10   1    9    3    10   
Vardas61457    Pavarde61457        6    2    3    1    3    3    7    7    8    8    7    6    7    2    8    3    
Vardas61458    Pavarde61458        2    10   1    9    4    7    5    7    2    4    10   9    8    5    4    10   
Vardas61459    Pavarde61459        2    4    10   9    9    6    8    9    6    3    5    6    7    6    7    3    
Vardas61460    Pavarde61460        6    4    10   6    6    6    2    7    5    10   1    4    10   6    4    3    
Vardas61461    Pavarde61461        2    5    3    3    7    10   9    1    7    7    10   6    2    4    6    1    
Vardas61462    Pavarde61462        9    4    9    6    3    9    6    8    7    6    1    4    2    3    9    7    
Vardas61463    Pavarde61463        9    8    4    9    8    2    2    6    2    1    4    5    6    5    9    4    
Vardas61464    Pavarde61464        8    1    7    9    4    6    9    10   9    2    10   3    9    7    7    1    
Vardas61465    Pavarde61465        2    4    9    9    9    6    1    8    5    6    8    7    6    3    10   6    
Vardas61466    Pavarde61466        5    4    4    3    9    1    7    2    8    6    1    7    9    1    4    1    
Vardas61467    Pavarde61467        5    7    2    3    1    3    10   1    5    2    1    10   1    2    1    9    
Vardas61468    Pavarde61468        1    10   9    2    4    5    6    9    1    8    5    3    1    3    4    1    
Vardas61469    Pavarde61469        5    9    7    8    8    2    7    9    10   5    5    7    1    7    6    3    
Vardas61470    Pavarde61470        9    3    1    4    4    5    4    1    6    3    8    1    10   3    5    6    
Vardas61471    Pavarde61471        4    5    8    5    7    1    10   5    2    8    9    10   1    1    9    9    
Vardas61472    Pavarde61472        3    3    6    1    10   2    6    10   8    4    5    1    5    6    3    10   
Vardas61473    Pavarde61473        7    4    9    10   2    5    2    7    6    2    3    2    7    6    5    4    
Vardas61474    Pavarde61474        7    5    7    10   10   8    10   2    3    2    2    7    9    5    5    10   
Vardas61475    Pavarde61475        4    9    2    9    1    5    1    9    9    10   9    3    6    6    4    6    
Vardas61476    Pavarde61476        6    4    2    8    10   3    3    4    4    3    1    10   9    10   1    8    
Vardas61477    Pavarde61477        6    2    6    3    1    3    10   5    9    7    5    9    10   9    1    3    
Vardas61478    Pavarde61478        2    6    5    1    3    5    2    3    3    5    2    5    6    4    4    4    
Vardas61479    Pavarde61479        4    3    9    8    1    10   5    3    6    9    9    1    4    3    6    3    
Vardas61480    Pavarde61480        10   4    1    7    3    6    9    4    1    5    5    4    7    8    3    1    
Vardas61481    Pavarde61481        9    10   4    4    5    6    5    10   1    10   5    3    7    9    10   3    
Vardas61482    Pavarde61482        7    1    6    1    5    10   6    8    3    2    9    1    10   3    8    7    
Vardas61483    Pavarde61483        6    5    10   2    1    4    10   9    2    9    2    7    4    8    6    8    
Vardas61484    Pavarde61484        5    5    8    3    6    9    5    8    4    6    4    10   8    5    3    5    
Vardas61485    Pavarde61485        5    4    7    6    10   5    9    1    2    7    6    10   4    8    2    10   
Vardas61486    Pavarde61486        8    3    3    1    9    9    4    3    9    4    7    4    9    10   1    9    
Vardas61487    Pavarde61487        9    9    7    9    8    9    6    10   2    9    8    6    7    9    1    5    
Vardas61488    Pavarde61488        6    10   5    10   3    6    6    4    10   5    1    10   3    1    9    1    
Vardas61489    Pavarde61489        7    6    5    5    8    5    8    4    5    9    1    7    10   3    3    9    
Vardas61490    Pavarde61490        3    8    5    2    7    5    2    8    10   10   2    10   9    9    5    2    
Vardas61491    Pavarde61491        10   3    4    8    9    5    3    10   6    1    7    10   1    3    10   4    
Vardas61492    Pavarde61492        2    8    5    5    8    1    2    9    9    9    4    10   4    3    6    6    
Vardas61493    Pavarde61493        5    3    4    9    2    6    6    10   6    5    10   9    9    9    9    9    
Vardas61494    Pavarde61494        10   9    2    6    8    7    7    5    9    2    9    8    2    7    4    5    
Vardas61495    Pavarde61495        3    9    10   4    10   5    3    6    10   7    1    1    6    7    6    7    
Vardas61496    Pavarde61496        1    5    2    7    4    3    1    7    7    6    1    7    10   7    9    4    
Vardas61497    Pavarde61497        5    2    6    9    8    6    4    3    7    5    1    2    1    6    7    8    
Vardas61498    Pavarde61498        10   2    6    5    7    6    6    9    4    6    9    3    2    6    9    7    
Vardas61499    Pavarde61499        2    8    2    7    5    10   9    5    3    10   6    8    3    7    4    4    
Vardas61500    Pavarde61500        9    1    10   4    10   8    10   9    7    5    6    4    1    3    6    6    
Vardas61501    Pavarde61501        7    3    2    4    8    8    10   5    1    5    3    4    10   2    7    6    
Vardas61502    Pavarde61502        10   1    10   10   6    7    9    2    3    9    8    5    1    7    6    8    
Vardas61503    Pavarde61503        4    2    8    6    5    2    2    1    3    9    8    8    9    1    9    10   
Vardas61504    Pavarde61504        3    1    7    6    2    7    4    10   6    3    10   4    1    3    2    9    
Vardas61505    Pavarde61505        6    4    10   8    7    3    4    3    5    6    1    7    4    1    2    4    
Vardas61506    Pavarde61506        9    4    3    4    1    9    5    5    10   6    10   6    2    1    8    10   
Vardas61507    Pavarde61507        4    10   5    5    2    10   10   10   7    6    4    1    4    4    3    1    
Vardas61508    Pavarde61508        6    2    7    4    10   1    5    8    5    4    6    5    6    7    9    1    
Vardas61509    Pavarde61509        9    4    1    5    10   5    3    6    1    6    7    2    1    6    2    7    
Vardas61510    Pavarde61510        5    9    9    7    8    1    7    4    4    1    10   1    9    8    8    4    
Vardas61511    Pavarde61511        2    5    9    6    4    6    7    9    4    1    6    3    8    5    4    3    
Vardas61512    Pavarde61512        8    10   4    4    9    4    7    7    7    2    5    7    2    1    9    8    
Vardas61513    Pavarde61513        2    2    4    4    7    2    10   10   8    8    5    2    6    2    3    5    
Vardas61514    Pavarde61514        6    6    4    1    2    3    1    9    2    8    1    1    7    8    8    7    
Vardas61515    Pavarde61515        8    5    8    5    9    2    6    2    10   10   2    5    10   10   7    5    
Vardas61516    Pavarde61516        2    7    3    8    10   8    9    8    1    1    7    2    3    6    3    8    
Vardas61517    Pavarde61517        5    3    9    6    5    3    9    7    9    5    8    3    7    3    2    8    
Vardas61518    Pavarde61518        1    6    3    9    6    8    3    4    9    6    9    8    5    2    4    1    
Vardas61519    Pavarde61519        5    2    1    8    9    10   7    5    5    1    7    6    1    3    3    10   
Vardas61520    Pavarde61520        4    4    2    6    5    6    10   6    6    10   6    7    6    4    10   10   
Vardas61521    Pavarde61521        5    6    8    1    7    5    3    2    10   9    7    2    3    4    4    5    
Vardas61522    Pavarde61522        8    7    7    2    9    10   7    3    1    6    6    4    9    10   4    4    
Vardas61523    Pavarde61523        5    8    5    7    4    8    1    6    5    6    8    2    7    7    8    6    
Vardas61524    Pavarde61524        2    2    4    10   9    10   8    7    10   6    3    5    9    3    2    1    
Vardas61525    Pavarde61525        9    4    8    1    7    6    6    4    5    8    6    6    6    10   2    2    
Vardas61526    Pavarde61526        6    1    6    8    3    5    8    10   4    6    9    10   1    3    9    9    
Vardas61527    Pavarde61527        6    4    7    9    9    10   9    7    10   8    7    3    8    3    6    10   
